,u,v,khopnode,repeat,distance
28610,3,53,4,386,0.45897729909145735
28611,4,9,4,386,0.45897729909145735
28612,15,18,4,386,0.45897729909145735
28613,4,41,4,386,0.45897729909145735
28614,3,4,4,386,0.45897729909145735
28615,3,103,4,386,0.45897729909145735
28616,4,126,4,386,0.45897729909145735
28617,2,4,4,386,0.45897729909145735
28618,2,6,4,386,0.45897729909145735
28619,41,47,4,386,0.45897729909145735
28620,73,88,4,386,0.45897729909145735
28621,4,47,4,386,0.45897729909145735
28622,13,63,4,386,0.45897729909145735
28623,2,15,4,386,0.45897729909145735
28624,4,156,4,386,0.45897729909145735
28625,3,10,4,386,0.45897729909145735
28626,6,47,4,386,0.45897729909145735
28627,3,63,4,386,0.45897729909145735
28628,4,18,4,386,0.45897729909145735
28629,2,224,4,386,0.45897729909145735
28630,4,83,4,386,0.45897729909145735
28631,0,10,4,386,0.45897729909145735
28632,4,29,4,386,0.45897729909145735
28633,3,73,4,386,0.45897729909145735
28634,2,88,4,386,0.45897729909145735
28635,4,224,4,386,0.45897729909145735
28636,2,38,4,386,0.45897729909145735
28637,4,73,4,386,0.45897729909145735
28638,3,97,3,387,0.3944845213146154
28639,13,30,3,387,0.3944845213146154
28640,3,478,3,387,0.3944845213146154
28641,97,109,3,387,0.3944845213146154
28642,1,7,3,387,0.3944845213146154
28643,5,15,3,387,0.3944845213146154
28644,0,3,3,387,0.3944845213146154
28645,109,288,3,387,0.3944845213146154
28646,11,44,3,387,0.3944845213146154
28647,5,60,3,387,0.3944845213146154
28648,88,286,3,387,0.3944845213146154
28649,3,325,3,387,0.3944845213146154
28650,3,30,3,387,0.3944845213146154
28651,11,91,3,387,0.3944845213146154
28652,3,44,3,387,0.3944845213146154
28653,3,256,3,387,0.3944845213146154
28654,3,279,3,387,0.3944845213146154
28655,9,10,3,387,0.3944845213146154
28656,4,44,3,387,0.3944845213146154
28657,4,86,3,387,0.3944845213146154
28658,4,8,3,387,0.3944845213146154
28659,3,60,3,387,0.3944845213146154
28660,4,40,3,387,0.3944845213146154
28661,15,472,3,387,0.3944845213146154
28662,199,279,3,387,0.3944845213146154
28663,9,54,3,387,0.3944845213146154
28664,3,154,3,387,0.3944845213146154
28665,3,42,3,387,0.3944845213146154
28666,3,54,3,387,0.3944845213146154
28667,10,48,3,387,0.3944845213146154
28668,46,199,3,387,0.3944845213146154
28669,1,9,3,387,0.3944845213146154
28670,3,103,3,387,0.3944845213146154
28671,11,256,3,387,0.3944845213146154
28672,43,289,3,387,0.3944845213146154
28673,3,16,3,387,0.3944845213146154
28674,7,9,3,387,0.3944845213146154
28675,3,40,3,387,0.3944845213146154
28676,3,5,3,387,0.3944845213146154
28677,0,30,3,387,0.3944845213146154
28678,3,291,3,387,0.3944845213146154
28679,86,106,3,387,0.3944845213146154
28680,1,6,3,387,0.3944845213146154
28681,3,288,3,387,0.3944845213146154
28682,2,33,3,387,0.3944845213146154
28683,3,301,3,387,0.3944845213146154
28684,2,4,3,387,0.3944845213146154
28685,3,52,3,387,0.3944845213146154
28686,1,22,3,387,0.3944845213146154
28687,289,325,3,387,0.3944845213146154
28688,3,472,3,387,0.3944845213146154
28689,15,70,3,387,0.3944845213146154
28690,3,6,3,387,0.3944845213146154
28691,3,15,3,387,0.3944845213146154
28692,15,103,3,387,0.3944845213146154
28693,33,478,3,387,0.3944845213146154
28694,15,425,3,387,0.3944845213146154
28695,0,10,3,387,0.3944845213146154
28696,30,325,3,387,0.3944845213146154
28697,4,7,3,387,0.3944845213146154
28698,48,177,3,387,0.3944845213146154
28699,3,4,3,387,0.3944845213146154
28700,3,425,3,387,0.3944845213146154
28701,7,8,3,387,0.3944845213146154
28702,2,22,3,387,0.3944845213146154
28703,1,366,3,387,0.3944845213146154
28704,3,84,3,387,0.3944845213146154
28705,3,436,3,387,0.3944845213146154
28706,0,13,3,387,0.3944845213146154
28707,4,373,3,387,0.3944845213146154
28708,3,10,3,387,0.3944845213146154
28709,113,291,3,387,0.3944845213146154
28710,3,49,3,387,0.3944845213146154
28711,3,46,3,387,0.3944845213146154
28712,5,133,3,388,0.42666065413243565
28713,3,275,3,388,0.42666065413243565
28714,3,121,3,388,0.42666065413243565
28715,3,344,3,388,0.42666065413243565
28716,4,5,3,388,0.42666065413243565
28717,3,67,3,388,0.42666065413243565
28718,3,62,3,388,0.42666065413243565
28719,4,91,3,388,0.42666065413243565
28720,54,97,3,388,0.42666065413243565
28721,5,91,3,388,0.42666065413243565
28722,5,7,3,388,0.42666065413243565
28723,3,472,3,388,0.42666065413243565
28724,3,77,3,388,0.42666065413243565
28725,197,419,3,388,0.42666065413243565
28726,10,78,3,388,0.42666065413243565
28727,254,442,3,388,0.42666065413243565
28728,25,69,3,388,0.42666065413243565
28729,4,18,3,388,0.42666065413243565
28730,0,5,3,388,0.42666065413243565
28731,5,197,3,388,0.42666065413243565
28732,3,144,3,388,0.42666065413243565
28733,4,17,3,388,0.42666065413243565
28734,0,157,3,388,0.42666065413243565
28735,0,3,3,388,0.42666065413243565
28736,5,18,3,388,0.42666065413243565
28737,15,30,3,388,0.42666065413243565
28738,10,472,3,388,0.42666065413243565
28739,5,21,3,388,0.42666065413243565
28740,3,4,3,388,0.42666065413243565
28741,3,54,3,388,0.42666065413243565
28742,10,87,3,388,0.42666065413243565
28743,0,29,3,388,0.42666065413243565
28744,3,134,3,388,0.42666065413243565
28745,3,30,3,388,0.42666065413243565
28746,3,419,3,388,0.42666065413243565
28747,17,144,3,388,0.42666065413243565
28748,1,4,3,388,0.42666065413243565
28749,3,34,3,388,0.42666065413243565
28750,3,18,3,388,0.42666065413243565
28751,133,480,3,388,0.42666065413243565
28752,3,25,3,388,0.42666065413243565
28753,10,54,3,388,0.42666065413243565
28754,5,275,3,388,0.42666065413243565
28755,4,25,3,388,0.42666065413243565
28756,3,21,3,388,0.42666065413243565
28757,3,442,3,388,0.42666065413243565
28758,17,351,3,388,0.42666065413243565
28759,5,29,3,388,0.42666065413243565
28760,3,133,3,388,0.42666065413243565
28761,3,97,3,388,0.42666065413243565
28762,10,155,3,388,0.42666065413243565
28763,10,134,3,388,0.42666065413243565
28764,3,17,3,388,0.42666065413243565
28765,0,97,3,388,0.42666065413243565
